            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
2458167.500000000, A.D. 2018-Feb-18 00:00:00.0000, -1.277321931915552E+00, -8.642509037651942E-01, -3.619295406663953E-01,  8.801016591352790E-03, -9.085139872609092E-03, -4.404688763220118E-03,
2458168.500000000, A.D. 2018-Feb-19 00:00:00.0000, -1.268473454266859E+00, -8.733037449598811E-01, -3.663206958350481E-01,  8.895862804958323E-03, -9.020406875574927E-03, -4.377557295280523E-03,
2458169.500000000, A.D. 2018-Feb-20 00:00:00.0000, -1.259530359421922E+00, -8.822914463177340E-01, -3.706845267418404E-01,  8.990249612938756E-03, -8.954860360303681E-03, -4.350040289009203E-03,
2458170.500000000, A.D. 2018-Feb-21 00:00:00.0000, -1.250493110983285E+00, -8.912131947806294E-01, -3.750206479430614E-01,  9.084168615590088E-03, -8.888501237721096E-03, -4.322137929920174E-03,
2458171.500000000, A.D. 2018-Feb-22 00:00:00.0000, -1.241362180966201E+00, -9.000681782370028E-01, -3.793286742021052E-01,  9.177611370330256E-03, -8.821330490294202E-03, -4.293850437266726E-03,
2458172.500000000, A.D. 2018-Feb-23 00:00:00.0000, -1.232138049845277E+00, -9.088555855842811E-01, -3.836082205166898E-01,  9.270569396671957E-03, -8.753349170875264E-03, -4.265178066292690E-03,
2458173.500000000, A.D. 2018-Feb-24 00:00:00.0000, -1.222821206599640E+00, -9.175746067918675E-01, -3.878589021469722E-01,  9.363034173855606E-03, -8.684558392597626E-03, -4.236121101830974E-03,
2458174.500000000, A.D. 2018-Feb-25 00:00:00.0000, -1.213412148757731E+00, -9.262244329658648E-01, -3.920803346445942E-01,  9.454997135948454E-03, -8.614959322593161E-03, -4.206679852137948E-03,
2458175.500000000, A.D. 2018-Feb-26 00:00:00.0000, -1.203911382443003E+00, -9.348042564156301E-01, -3.962721338820034E-01,  9.546449670008001E-03, -8.544553186034462E-03, -4.176854649581552E-03,
2458176.500000000, A.D. 2018-Feb-27 00:00:00.0000, -1.194319422420237E+00, -9.433132707210993E-01, -4.004339160816001E-01,  9.637383114110517E-03, -8.473341276240368E-03, -4.146645854510035E-03,
2458177.500000000, A.D. 2018-Feb-28 00:00:00.0000, -1.184636792141070E+00, -9.517506708004635E-01, -4.045652978452104E-01,  9.727788753729687E-03, -8.401324963532960E-03, -4.116053857580808E-03,
2458178.500000000, A.D. 2018-Mar-01 00:00:00.0000, -1.174864023788103E+00, -9.601156529791826E-01, -4.086658961847538E-01,  9.817657823768507E-03, -8.328505697926260E-03, -4.085079081831016E-03,
2458179.500000000, A.D. 2018-Mar-02 00:00:00.0000, -1.165001658318391E+00, -9.684074150611444E-01, -4.127353285541474E-01,  9.906981519823835E-03, -8.254885004208550E-03, -4.053721985936054E-03,
2458180.500000000, A.D. 2018-Mar-03 00:00:00.0000, -1.155050245507262E+00, -9.766251564010892E-01, -4.167732128814715E-01,  9.995751006745631E-03, -8.180464474445648E-03, -4.021983065002729E-03,
2458181.500000000, A.D. 2018-Mar-04 00:00:00.0000, -1.145010343992395E+00, -9.847680779769887E-01, -4.207791676007391E-01,  1.008395741361212E-02, -8.105245766765787E-03, -3.989862847328338E-03,
2458182.500000000, A.D. 2018-Mar-05 00:00:00.0000, -1.134882521317210E+00, -9.928353824625175E-01, -4.247528116838317E-01,  1.017159182240755E-02, -8.029230609410777E-03, -3.957361890184903E-03,
2458183.500000000, A.D. 2018-Mar-06 00:00:00.0000, -1.124667353973394E+00, -1.000826274301057E+00, -4.286937646734813E-01,  1.025864526248670E-02, -7.952420803426270E-03, -3.924480777758851E-03,
2458184.500000000, A.D. 2018-Mar-07 00:00:00.0000, -1.114365427443591E+00, -1.008739959782085E+00, -4.326016467172331E-01,  1.034510871298137E-02, -7.874818225771033E-03, -3.891220123557621E-03,
2458185.500000000, A.D. 2018-Mar-08 00:00:00.0000, -1.103977336244954E+00, -1.016575647119258E+00, -4.364760786016572E-01,  1.043097310875055E-02, -7.796424837210107E-03, -3.857580577389062E-03,
2458186.500000000, A.D. 2018-Mar-09 00:00:00.0000, -1.093503683972648E+00, -1.024332546529071E+00, -4.403166817866879E-01,  1.051622934630999E-02, -7.717242688679733E-03, -3.823562831836789E-03,
2458187.500000000, A.D. 2018-Mar-10 00:00:00.0000, -1.082945083341961E+00, -1.032009870310062E+00, -4.441230784407842E-01,  1.060086828685722E-02, -7.637273916061896E-03, -3.789167621343012E-03,
2458188.500000000, A.D. 2018-Mar-11 00:00:00.0000, -1.072302156229319E+00, -1.039606832923664E+00, -4.478948914773453E-01,  1.068488075427614E-02, -7.556520729079507E-03, -3.754395715332695E-03,
2458189.500000000, A.D. 2018-Mar-12 00:00:00.0000, -1.061575533713678E+00, -1.047122651077400E+00, -4.516317445919183E-01,  1.076825753177370E-02, -7.474985409060868E-03, -3.719247914833018E-03,
2458190.500000000, A.D. 2018-Mar-13 00:00:00.0000, -1.050765856118776E+00, -1.054556543809837E+00, -4.553332622995450E-01,  1.085098935956833E-02, -7.392670317512344E-03, -3.683725055173897E-03,
2458191.500000000, A.D. 2018-Mar-14 00:00:00.0000, -1.039873773054980E+00, -1.061907732576467E+00, -4.589990699723853E-01,  1.093306693118887E-02, -7.309577906943767E-03, -3.647828009129015E-03,
2458192.500000000, A.D. 2018-Mar-15 00:00:00.0000, -1.028899943459417E+00, -1.069175441336965E+00, -4.626287938784912E-01,  1.101448089131122E-02, -7.225710727142310E-03, -3.611557688369319E-03,
2458193.500000000, A.D. 2018-Mar-16 00:00:00.0000, -1.017845035634525E+00, -1.076358896644972E+00, -4.662220612222324E-01,  1.109522184251186E-02, -7.141071425711808E-03, -3.574915046653492E-03,
2458194.500000000, A.D. 2018-Mar-17 00:00:00.0000, -1.006709727285993E+00, -1.083457327740329E+00, -4.697785001857997E-01,  1.117528035867137E-02, -7.055662743730459E-03, -3.537901084330555E-03,
2458195.500000000, A.D. 2018-Mar-18 00:00:00.0000, -9.954947055602812E-01, -1.090469966642193E+00, -4.732977399708000E-01,  1.125464699006004E-02, -6.969487510873998E-03, -3.500516848371187E-03,
2458196.500000000, A.D. 2018-Mar-19 00:00:00.0000, -9.842006670809516E-01, -1.097396048242188E+00, -4.767794108398765E-01,  1.133331225487965E-02, -6.882548645525501E-03, -3.462763427483076E-03,
2458197.500000000, A.D. 2018-Mar-20 00:00:00.0000, -9.728283179831742E-01, -1.104234810398562E+00, -4.802231441591829E-01,  1.141126662988195E-02, -6.794849157538882E-03, -3.424641947691131E-03,
2458198.500000000, A.D. 2018-Mar-21 00:00:00.0000, -9.613783739470348E-01, -1.110985494032694E+00, -4.836285724421065E-01,  1.148850054972817E-02, -6.706392150671001E-03, -3.386153572280240E-03,
2458199.500000000, A.D. 2018-Mar-22 00:00:00.0000, -9.498515602306902E-01, -1.117647343227800E+00, -4.869953293936207E-01,  1.156500441214964E-02, -6.617180828284557E-03, -3.347299506663951E-03,
2458200.500000000, A.D. 2018-Mar-23 00:00:00.0000, -9.382486117031806E-01, -1.124219605328603E+00, -4.903230499546924E-01,  1.164076858340870E-02, -6.527218502680424E-03, -3.308081005537406E-03,
2458201.500000000, A.D. 2018-Mar-24 00:00:00.0000, -9.265702728754923E-01, -1.130701531041321E+00, -4.936113703471583E-01,  1.171578340341676E-02, -6.436508597980894E-03, -3.268499376755583E-03,
2458202.500000000, A.D. 2018-Mar-25 00:00:00.0000, -9.148172979292621E-01, -1.137092374534649E+00, -4.968599281197716E-01,  1.179003918944097E-02, -6.345054640443295E-03, -3.228555978011821E-03,
2458203.500000000, A.D. 2018-Mar-26 00:00:00.0000, -9.029904507443310E-01, -1.143391393542584E+00, -5.000683621952589E-01,  1.186352623572666E-02, -6.252860248207488E-03, -3.188252210796707E-03,
2458204.500000000, A.D. 2018-Mar-27 00:00:00.0000, -8.910905049265085E-01, -1.149597849468921E+00, -5.032363129175350E-01,  1.193623481070323E-02, -6.159929133565728E-03, -3.147589519313273E-03,
2458205.500000000, A.D. 2018-Mar-28 00:00:00.0000, -8.791182438351453E-01, -1.155711007492505E+00, -5.063634220987692E-01,  1.200815515327638E-02, -6.066265113526356E-03, -3.106569393208605E-03,
2458206.500000000, A.D. 2018-Mar-29 00:00:00.0000, -8.670744606090607E-01, -1.161730136673133E+00, -5.094493330669750E-01,  1.207927746878052E-02, -5.971872118184308E-03, -3.065193368975858E-03,
2458207.500000000, A.D. 2018-Mar-30 00:00:00.0000, -8.549599581903952E-01, -1.167654510059227E+00, -5.124936907149650E-01,  1.214959193020515E-02, -5.876754193666711E-03, -3.023463031250276E-03,
2458208.500000000, A.D. 2018-Mar-31 00:00:00.0000, -8.427755493472926E-01, -1.173483404798028E+00, -5.154961415505870E-01,  1.221908868893166E-02, -5.780915501645168E-03, -2.981380017525795E-03,
2458209.500000000, A.D. 2018-Apr-01 00:00:00.0000, -8.305220566960715E-01, -1.179216102247379E+00, -5.184563337473838E-01,  1.228775788706959E-02, -5.684360316045966E-03, -2.938946022676641E-03,
2458210.500000000, A.D. 2018-Apr-02 00:00:00.0000, -8.182003127223160E-01, -1.184851888087667E+00, -5.213739171951774E-01,  1.235558965737748E-02, -5.587093019230173E-03, -2.896162796667686E-03,
