            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
2458159.500000000, A.D. 2018-Feb-10 00:00:00.0000, -7.662129455848692E-01,  5.704911902638807E-01,  2.473101808836112E-01, -1.112688908283271E-02, -1.231466902471529E-02, -5.338047946629429E-03,
2458160.500000000, A.D. 2018-Feb-11 00:00:00.0000, -7.772214194858448E-01,  5.580886259021627E-01,  2.419340907893146E-01, -1.088946508971892E-02, -1.248981070218285E-02, -5.413854203742029E-03,
2458161.500000000, A.D. 2018-Feb-12 00:00:00.0000, -7.879907016901955E-01,  5.455128839714142E-01,  2.364830353143679E-01, -1.064851911261062E-02, -1.266100708985639E-02, -5.487971951473854E-03,
2458162.500000000, A.D. 2018-Feb-13 00:00:00.0000, -7.985173117293174E-01,  5.327679607861047E-01,  2.309587232274418E-01, -1.040413547086681E-02, -1.282815631537069E-02, -5.560360672166483E-03,
2458163.500000000, A.D. 2018-Feb-14 00:00:00.0000, -8.087978575643727E-01,  5.198579540382090E-01,  2.253629038424889E-01, -1.015640696756563E-02, -1.299115749443193E-02, -5.630979773610975E-03,
2458164.500000000, A.D. 2018-Feb-15 00:00:00.0000, -8.188290449212091E-01,  5.067870616343831E-01,  2.196973670911017E-01, -9.905436635010326E-03, -1.314991126335314E-02, -5.699788656091187E-03,
2458165.500000000, A.D. 2018-Feb-16 00:00:00.0000, -8.286076884026797E-01,  4.935595794466820E-01,  2.139639433312778E-01, -9.651339447003873E-03, -1.330432141626351E-02, -5.766747178203578E-03,
2458166.500000000, A.D. 2018-Feb-17 00:00:00.0000, -8.381307240619283E-01,  4.801798969216579E-01,  2.081645024916715E-01, -9.394243443469494E-03, -1.345429750849163E-02, -5.831816510752168E-03,
2458167.500000000, A.D. 2018-Feb-18 00:00:00.0000, -8.473952226229827E-01,  4.666524897429295E-01,  2.023009522051819E-01, -9.134289848486455E-03, -1.359975807365375E-02, -5.894960281814184E-03,
2458168.500000000, A.D. 2018-Feb-19 00:00:00.0000, -8.563984022315578E-01,  4.529819091634874E-01,  1.963752347153693E-01, -8.871632007066466E-03, -1.374063398810648E-02, -5.956145858100696E-03,
2458169.500000000, A.D. 2018-Feb-20 00:00:00.0000, -8.651376395812135E-01,  4.391727680798776E-01,  1.903893224999358E-01, -8.606433232816478E-03, -1.387687156663800E-02, -6.015345606990341E-03,
2458170.500000000, A.D. 2018-Feb-21 00:00:00.0000, -8.736104784440093E-01,  4.252297242457892E-01,  1.843452126850657E-01, -8.338863812282039E-03, -1.400843517270386E-02, -6.072538044273951E-03,
2458171.500000000, A.D. 2018-Feb-22 00:00:00.0000, -8.818146348680569E-01,  4.111574611195861E-01,  1.782449203756483E-01, -8.069097346425419E-03, -1.413530935662200E-02, -6.127708859611773E-03,
2458172.500000000, A.D. 2018-Feb-23 00:00:00.0000, -8.897479983600409E-01,  3.969606667670517E-01,  1.720904710042888E-01, -7.797306333817138E-03, -1.425750061435935E-02, -6.180851859248035E-03,
2458173.500000000, A.D. 2018-Feb-24 00:00:00.0000, -8.974086281069018E-01,  3.826440112321293E-01,  1.658838917809724E-01, -7.523656576878900E-03, -1.437503863264460E-02, -6.231969806529627E-03,
2458174.500000000, A.D. 2018-Feb-25 00:00:00.0000, -9.047947428000694E-01,  3.682121231776720E-01,  1.596272024312446E-01, -7.248299918977074E-03, -1.448797633072049E-02, -6.281074946410372E-03,
2458175.500000000, A.D. 2018-Feb-26 00:00:00.0000, -9.119047023288348E-01,  3.536695676287036E-01,  1.533224057606394E-01, -6.971365331555977E-03, -1.459638734350260E-02, -6.328188725368973E-03,
2458176.500000000, A.D. 2018-Feb-27 00:00:00.0000, -9.187369801956236E-01,  3.390208281956233E-01,  1.469714791793907E-01, -6.692949616435810E-03, -1.470035933742047E-02, -6.373340040110908E-03,
2458177.500000000, A.D. 2018-Feb-28 00:00:00.0000, -9.252901275729505E-01,  3.242702984617453E-01,  1.405763689356893E-01, -6.413110575210770E-03, -1.479998238058341E-02, -6.416561535897115E-03,
2458178.500000000, A.D. 2018-Mar-01 00:00:00.0000, -9.315627332979844E-01,  3.094222870112829E-01,  1.341389889670696E-01, -6.131866292347391E-03, -1.489533375131631E-02, -6.457884196698850E-03,
2458179.500000000, A.D. 2018-Mar-02 00:00:00.0000, -9.375533873064243E-01,  2.944810378597921E-01,  1.276612255286423E-01, -5.849202882863983E-03, -1.498646315189838E-02, -6.497331487876617E-03,
2458180.500000000, A.D. 2018-Mar-03 00:00:00.0000, -9.432606557634393E-01,  2.794507633466445E-01,  1.211449471204045E-01, -5.565089619704692E-03, -1.507338334432545E-02, -6.534914929557097E-03,
2458181.500000000, A.D. 2018-Mar-04 00:00:00.0000, -9.486830731700159E-01,  2.643356822109313E-01,  1.145920174689714E-01, -5.279496786342485E-03, -1.515606938377600E-02, -6.570632567138665E-03,
2458182.500000000, A.D. 2018-Mar-05 00:00:00.0000, -9.538191512482402E-01,  2.491400542317996E-01,  1.080043084545466E-01, -4.992410519299283E-03, -1.523446583227185E-02, -6.604470518365943E-03,
2458183.500000000, A.D. 2018-Mar-06 00:00:00.0000, -9.586673994984487E-01,  2.338682051521093E-01,  1.013837103701417E-01, -4.703840983692905E-03, -1.530849822095751E-02, -6.636406512496295E-03,
2458184.500000000, A.D. 2018-Mar-07 00:00:00.0000, -9.632263503650806E-01,  2.185245398705866E-01,  9.473213829553741E-02, -4.413823630638508E-03, -1.537808440735826E-02, -6.666413875469587E-03,
2458185.500000000, A.D. 2018-Mar-08 00:00:00.0000, -9.674945830593609E-01,  2.031135456100592E-01,  8.805153478312024E-02, -4.122415721627711E-03, -1.544314296592568E-02, -6.694464780500979E-03,
